+------+-------------+-----------------------+-------------+-------------+
| Rank |  Drug Name  |      Target Name      | Interaction | Probability |
| 229  |  91826086.0 | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 230  |  9911844.0  | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 231  |  4239764.0  | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 232  |  9887712.0  | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 233  |   41448.0   | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 234  | 135564787.0 | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 235  |  2772126.0  | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 236  |    1993.0   | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 237  |  3025986.0  | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 238  |  6918324.0  | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 239  |  5288674.0  | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 240  |   204104.0  | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 241  |    2966.0   | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 242  |  6918391.0  | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 243  |  11630874.0 | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 244  |  6710779.0  | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 245  |  57336812.0 | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 246  |  9911830.0  | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 247  |  11837140.0 | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 248  |    4583.0   | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 249  |    3105.0   | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 250  |    2787.0   | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 251  |  5359371.0  | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 252  |    4261.0   | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 253  |    6857.0   | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 254  |    5770.0   | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 255  |  10052040.0 | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 256  |  25110470.0 | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 257  |   27200.0   | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 258  |  24776341.0 | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 259  |   115175.0  | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 260  |  5311454.0  | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 261  |  5702136.0  | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 262  |  23642319.0 | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 263  |   448014.0  | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 264  |    3152.0   | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 265  |  13017912.0 | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 266  |    3678.0   | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 267  |    7099.0   | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 268  |   443354.0  | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 269  |  9874913.0  | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 270  |     UNK     | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 271  |   60910.0   | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 272  |    4768.0   | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 273  |   40539.0   | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 274  |  15942827.0 | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 275  | 129010094.0 | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 276  |  9912743.0  | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 277  |   48229.0   | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 278  |   72390.0   | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 279  |  11249084.0 | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 280  |   81409.0   | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 281  |    3017.0   | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 282  |  24739943.0 | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 283  |    6049.0   | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 284  |  9952605.0  | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 285  |  25141092.0 | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 286  |  1474853.0  | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 287  |   441199.0  | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 288  |   55251.0   | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 289  |   19529.0   | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 290  |  6610230.0  | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 291  |    7333.0   | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 292  |  13366009.0 | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 293  |    4045.0   | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 294  |     UNK     | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 295  |   164451.0  | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 296  |   449097.0  | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 297  |  46209401.0 | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 298  |  5351344.0  | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 299  |  51039095.0 | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 300  |  44595079.0 | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 301  |   149096.0  | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 302  |   65906.0   | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 303  |   155815.0  | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 304  |   50248.0   | SARS-CoV 3CL Protease |      NO     |     0.00    |
